action_lable,python_signal,matlable_signal,,,,Datetime,matlable_signal,
Normal Close,'Normal Close','Normal Close',TRUE,,,2015/7/20 9:15,2015/7/20 9:15,FALSE
Normal Open,'Normal Open','Normal Open',TRUE,,,2015/7/21 9:15,2015/7/21 9:15,FALSE
LockProfit Close,'LockProfit Close','LockProfit Close',TRUE,,,2015/7/22 9:15,2015/7/22 9:15,FALSE
Normal Open,'Normal Open','Normal Open',TRUE,,,2015/7/24 11:00,2015/7/24 11:00,FALSE
LockProfit Close,'LockProfit Close','LockProfit Close',TRUE,,,2015/7/27 9:50,2015/7/27 9:50,FALSE
Normal Open,'Normal Open','Normal Open',TRUE,,,2015/7/30 9:25,2015/7/30 9:25,TRUE
LockProfit Close,'LockProfit Close','LockProfit Close',TRUE,,,2015/7/31 9:35,2015/7/31 9:35,FALSE
Normal Open,'Normal Open','Normal Open',TRUE,,,2015/8/3 9:15,2015/8/3 9:15,FALSE
StopLoss Close,'StopLoss Close','StopLoss Close',TRUE,,,2015/8/4 9:25,2015/8/4 9:25,TRUE
Normal Open,'Normal Open','Normal Open',TRUE,,,2015/8/5 10:05,2015/8/5 10:05,TRUE
Normal Close,'Normal Close','Normal Close',TRUE,,,2015/8/6 14:30,2015/8/6 14:30,FALSE
Normal Open,'Normal Open','Normal Open',TRUE,,,2015/8/7 13:45,2015/8/7 13:45,FALSE
LockProfit Close,'LockProfit Close','LockProfit Close',TRUE,,,2015/8/10 14:50,2015/8/10 14:50,FALSE
Normal Open,'Normal Open','Normal Open',TRUE,,,2015/8/11 9:30,2015/8/11 9:30,FALSE
Normal Close,'Normal Close','Normal Close',TRUE,,,2015/8/12 9:15,2015/8/12 9:15,FALSE
Normal Open,'Normal Open','Normal Open',TRUE,,,2015/8/13 9:20,2015/8/13 9:20,TRUE
Normal Close,'Normal Close','Normal Close',TRUE,,,2015/8/14 11:00,2015/8/14 11:00,FALSE
Normal Open,'Normal Open','Normal Open',TRUE,,,2015/8/17 9:15,2015/8/17 9:15,FALSE
Normal Close,'Normal Close','Normal Close',TRUE,,,2015/8/20 14:25,2015/8/20 14:25,FALSE
Normal Open,'Normal Open','Normal Open',TRUE,,,2015/8/21 13:05,2015/8/21 13:05,TRUE
Normal Close,'Normal Close','Normal Close',TRUE,,,2015/8/24 9:30,2015/8/24 9:30,FALSE
Normal Open,'Normal Open','Normal Open',TRUE,,,2015/8/31 9:15,2015/8/31 9:15,FALSE
Normal Close,'Normal Close','Normal Close',TRUE,,,2015/9/1 9:15,2015/9/1 9:15,FALSE
Normal Open,'Normal Open','Normal Open',TRUE,,,2015/9/2 9:15,2015/9/2 9:15,FALSE
LockProfit Close,'LockProfit Close','LockProfit Close',TRUE,,,2015/9/7 9:15,2015/9/7 9:15,FALSE
